News,Source / Said By,stated_on,Via,Writter,Published on,Classification
"""After years of 5.5 percent average tuition increases, we now have a two-year tuition freeze for the first time in the history of the UW System.""",Scott Walker,"January 22, 2014",a speech:,Tom Kertscher,"January 23, 2014",TRUE
"""We had 6,000 oil and gas spills in 2012"" with ""more oil and gas spreading in the United States than the entire Exxon Valdez spill.""",Josh Fox,"January 19, 2014",an,Katie Sanders,"January 23, 2014",TRUE
"""Since Barack Obama became president of the United States, 95 percent of economic gains have been made by the richest 1 percent.""",Joe Scarborough,"January 21, 2014","a broadcast of MSNBC's ""Morn",Jon Greenberg,"January 22, 2014",TRUE
"""Thanks in part to our all-of-the-above strategy for American energy,"" the United States generates ""more natural gas than anybody.""",Barack Obama,"January 18, 2014",a Saturday radio address:,Louis Jacobson,"January 22, 2014",TRUE
"Says Alex Sink ""failed Florida homeowners by using predatory lending practices.""",Republican Party of Florida,"October 31, 2013",a YouTube video:,Joshua Gillin,"January 22, 2014",FALSE
"""We’ve had the private sector more than double the investment that was made by the public sector"" at Quonset Business Park.",Steven King,"January 5, 2014",a TV,John Hill,"January 22, 2014",TRUE
"""During my administration, funding for education has increased by over $930 million.""",Nathan Deal,"January 15, 2014",a speech:,Eric Stirgus,"January 22, 2014",half-true
"""And we’ve constantly been the lowest unemployed county in the state.""",Bob Terry,"January 8, 2014",an Oreg,Dana Tims,"January 21, 2014",FALSE
"""Most of West Virginia is still owned, in excess of 90 percent, by out-of-state interests.""",Bob Kincaid,"January 19, 2014","a broadcast of MSNBC's ""Melissa Harris-Perry"":",Jon Greenberg,"January 21, 2014",FALSE
"Travis County is ""surrounded by red counties.""",Lloyd  Doggett,"November 22, 2013",a video:,W. Gardner Selby,"January 21, 2014",TRUE
"""(M)ore Georgians have jobs than at any other time since October 2008.""",Nathan Deal,"January 15, 2014",a speech:,Nancy Badertscher,"January 21, 2014",TRUE
"""The average rate of fraud"" in the Earned Income Tax Credit, Medicare, Medicaid and food stamps programs ""is 20 to 25 percent.""",Ron Johnson,"January 10, 2014",a speech:,Tom Kertscher,"January 20, 2014",pants-fire
"In Virginia, ""Medicaid has grown by 1,600 percent in the last 30 years.""",William Howell,"January 5, 2014",an op-ed.:,Sean Gorman,"January 20, 2014",TRUE
"""In some of the states in the U.S., homosexuality remains a felony.""",Vladimir Putin,"January 19, 2014",comments,Katie Sanders,"January 19, 2014",FALSE
"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",Vladimir Putin,"January 19, 2014",comments,Steve Contorno,"January 19, 2014",half-true
"""Today, our unemployment rate is 7.8 percent. That is the lowest in five years.""",Chris Christie,"January 14, 2014",a State of the State address:,Caryn Shinske,"January 19, 2014",TRUE
"Action by the Milwaukee County Board will ""provide the County Executive with the same level of security as the Governor and the Mayor of Milwaukee while saving taxpayers $300,000.""",David Cullen,"January 1, 2014",a c,Dave Umhoefer,"January 19, 2014",pants-fire
"The General Assembly ""has no explicit constitutional authority to impose income, sales, estate and the myriad of other taxes upon us.""",Nicholas Gorham,"December 30, 2013",a newspaper commentary:,John Hill,"January 19, 2014",TRUE
"Alex Sink ""used a taxpayer-funded plane so she could get to a vacation in the Bahamas.""",National Republican Congressional Committee,"January 15, 2014",,Joshua Gillin,"January 17, 2014",half-true
"""In 1916, the U.S. government predicted that by the 1940s all paper would come from hemp and that no more trees would need to be cut down.""",Facebook posts,"January 16, 2014",a graphic,Louis Jacobson,"January 17, 2014",FALSE
"""For the first time in nearly two decades, we produce more oil here in the United States than we buy from the rest of the world.""",Barack Obama,"January 16, 2014",a speech at North Carol,Julie Kliegman,"January 17, 2014",TRUE
"""Americans are 20 times as likely to die from gun violence as citizens of other civilized countries.""",Lisa Bloom,"January 14, 2014",an,Katie Sanders,"January 17, 2014",TRUE
"San Antonio has seen ""67% growth"" in water customers ""in the last 25 years, 0% more water used.""",Robert Puente,"September 20, 2013",a Texas Tribune Festival panel discussi,Sue Owen,"January 17, 2014",FALSE
"""The (New England) Patriots were led by an explosive offense that scored the second most points in the NFL.""",Rhode Island Senate,"January 15, 2014",a Senate resoluti,C. Eugene Emery Jr.,"January 17, 2014",TRUE
President Barack Obama’s judicial appointments for Georgia and the region were drafted in secret and not vetted by legal groups among the president’s supporters.,David Scott,"January 6, 2014",a letter:,Eric Stirgus,"January 17, 2014",TRUE
"On foreign policy, Joe Biden was against aid for Vietnam, said the fall of the Shah was ""a step forward"" for human rights in Iran, opposed Reagan's defense build-up and voted against the first Gulf War.",Robert Gates,"January 13, 2014",an,Steve Contorno,"January 16, 2014",TRUE
"During the lead-up to the American Revolutionary War, ""some guy in Boston got his head blown off because he tried to secretly raise the tax on tea.""",Andrea Tantaros,"January 15, 2014",comments,Aaron Sharockman,"January 16, 2014",pants-fire
"Obama unilaterally announced he was delaying employer mandate ""through a blog post by a mid-level bureaucrat at the Department of Treasury.""",Ted Cruz,"January 10, 2014",a speech at a Texas Public Policy Foundati,Sue Owen,"January 16, 2014",TRUE
"""Texas is experiencing the fastest population growth in the country,"" adding ""more than 1,000 people a day.""",Texans for Reliable Power,"January 9, 2014",an advertisement:,W. Gardner Selby,"January 16, 2014",TRUE
"Scott Walker's income ""tax plan is a tax hike. It increases taxes for nearly 80% of the people in the state.""",Mary Burke,"January 7, 2014",an,Tom Kertscher,"January 16, 2014",pants-fire
"""Trey Radel does not even qualify to drive a Lee County school bus at this point, yet he occupies a seat in Congress.""",Mike Scott,"January 11, 2014",a Facebook post:,Amy Sherman,"January 15, 2014",TRUE
"""Only 3 percent of voters 18 to 34 don't believe that climate change is really happening.""",Chris Murphy,"January 15, 2014",remarks at a news c,Louis Jacobson,"January 15, 2014",TRUE
"""I started the whole year"" as a senior on the University of Illinois football team and ""led the team in interceptions and tackles from defensive back.""",Scott Turner,"January 8, 2014",a speech:,W. Gardner Selby,"January 15, 2014",FALSE
"Oregon Rep. Tina Kotek, D-Portland, has ""never held a job nor run a business""",Bill Post,"January 9, 2014",a tweet by Post:,Dana Tims,"January 15, 2014",pants-fire
"""Seventy percent of the people living in abject poverty are women.""",Carly Fiorina,"January 12, 2014","a broadcast of ABC's ""This Week"":",Jon Greenberg,"January 15, 2014",FALSE
"""The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.""",Rana Foroohar,"January 10, 2014",a CNN,Katie Sanders,"January 15, 2014",TRUE
"""I cut spending while serving in the state Legislature""",Marilinda Garcia,"December 11, 2013",a tweet:,Kevin Landrigan,"January 14, 2014",TRUE
"""If you have a job in this country, (there's a) 97 percent chance that you're not going to be in poverty.""",Steve Southerland,"January 12, 2014",an,Louis Jacobson,"January 14, 2014",TRUE
"""If you make the average amount of people in Wisconsin, $50,000, you got $1.60 less a week in taxes"" under the state income-tax cut, but ""it didn’t show up in your paycheck.""",Kathleen Vinehout,"December 5, 2013",a speech:,Dave Umhoefer,"January 14, 2014",TRUE
"""Sens. Isakson’s, Chambliss’ Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.""",Americans United for Change,"January 14, 2014",a press release:,Eric Stirgus,"January 14, 2014",half-true
"A judge's order means there's a ""Constitution exemption zone"" if you live ""within 100 miles of the United States border.""",Facebook posts,"January 5, 2014",a Facebook post:,Julie Kliegman,"January 13, 2014",FALSE
"""Unemployment insurance kept more than 620,000 children out of poverty in 2012.""",Barack Obama,"January 7, 2014",a Facebook post:,Louis Jacobson,"January 13, 2014",half-true
"Buried in the Affordable Care Act is ""a huge government bailout.""",Charles Krauthammer,"January 2, 2014","a ""Wash",Jon Greenberg,"January 13, 2014",half-true
"""Under Obamacare, when you turn Medicaid over to the states ... the money will be available up front for the expansion for a few years. Then, the money will go away.""",Marco Rubio,"January 12, 2014",comments,Katie Sanders,"January 13, 2014",FALSE
"""We expanded charter"" schools.",Bob McDonnell,"January 8, 2014",a speech.:,Nancy Madsen,"January 13, 2014",half-true
"""Jobs that involve the minimum wage are overwhelmingly jobs for young people starting out in the workforce.""",Scott Walker,"January 6, 2014",an,Dave Umhoefer,"January 13, 2014",FALSE
"""The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.""",Karl Rove,"January 12, 2014",comments,Steve Contorno,"January 12, 2014",FALSE
"""We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nation’s history.""",Robert Gibbs,"January 12, 2014",an,Katie Sanders,"January 12, 2014",TRUE
"""What do Rutgers University, Kean University, Montclair State University, New Jersey City University, Stockton College, Rowan University and William Paterson all have in common? They all graduate less than 50 percent of their students within four years.""",Joseph Cryan,"December 19, 2013",an Assembly sessi,Caryn Shinske,"January 12, 2014",TRUE
"Members of the military don’t ""contribute toward their pension.""",Paul Ryan,"December 19, 2013",an,Tom Kertscher,"January 12, 2014",TRUE
"""I have never lobbied for offshore oil drilling.""",David Jolly,"January 6, 2014",comments at a public form:,Joshua Gillin,"January 10, 2014",FALSE
"""When I was Mayor of South Pasadena, we actually reduced the property taxes we collected.""",Kathleen Peters,"January 8, 2014",a campaign mailer:,Joshua Gillin,"January 10, 2014",FALSE
"""The Obama administration has used the Espionage Act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined.""",Jake Tapper,"January 2, 2014","a broadcast of CNN's ""The Lead with Jake Tapper"":",Jon Greenberg,"January 10, 2014",TRUE
"""Crime in Atlanta is down 18 percent since 2009.""",Atlanta Police Foundation,"December 17, 2013",flier to supporters:,Nancy Badertscher,"January 10, 2014",TRUE
"Marriage ""decreases the probability of child poverty by 82 percent.""",Marco Rubio,"January 8, 2014",a speech:,Louis Jacobson,"January 9, 2014",TRUE
"The Foundation for Government Accountability, which supported a Florida law requiring drug testing of welfare recipients, is a ""Koch brothers affiliated group.""",Rachel Maddow,"January 2, 2014",comments,Katie Sanders,"January 9, 2014",FALSE
Federal law requires residents to participate in the U.S. government’s American Community Survey.,U.S. Census Bureau,"January 7, 2014",a mail,W. Gardner Selby,"January 9, 2014",TRUE
"""There are many studies that indicate"" that the longer people get unemployment insurance, ""it provides some disincentive to work.""",Rand Paul,"January 5, 2014",an,Louis Jacobson,"January 9, 2014",TRUE
"""State Rep. Kathleen Peters has a 100 percent pro-abortion voting record – even voting against a ban on sex-selection abortions.""",National Right to Life Committee,"December 31, 2013",an article posted,Joshua Gillin,"January 9, 2014",half-true
"""Oregon is spending $10 million advertising Obamacare with ads that don’t even mention the program and how to enroll in it"" and that don’t ""mention the word ‘insurance.’""",Tom Coburn,"December 17, 2013","Coburn's ""Wastebook 2013"":",Dana Tims,"January 8, 2014",FALSE
"Says the media created the term ""polar vortex"" and the cold air proves ""the ice isn’t melting.""",Rush Limbaugh,"January 6, 2014",comments,Katie Sanders,"January 8, 2014",pants-fire
"Payday lenders profit ""from the poor by charging 1,000-plus"" percent ""interest.""",Wendy Davis,"December 30, 2013",a press release:,W. Gardner Selby,"January 8, 2014",half-true
"""Our economy still has three people looking for every job (opening).""",Gene Sperling,"January 5, 2014",an,Julie Kliegman,"January 7, 2014",TRUE
Nearly 40 percent of his McAllen-area constituents suffer from obesity.,"Eddie Lucio, Jr.","November 18, 2013",remarks at Southern Obesity Summit:,Sue Owen,"January 7, 2014",TRUE
It’s warmer on Mars than it is in parts of the United States and Canada during the polar vortex.,Tweets,"January 7, 2014",posts,Julie Kliegman,"January 7, 2014",FALSE
"""US: Change in Income, 2009-13. Top 1%: +31.4%. Bottom 99%: +0.4%.""",Ian Bremmer,"January 4, 2014",a tweet:,Louis Jacobson,"January 7, 2014",TRUE
"""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""",Glenn Greenwald,"January 2, 2014","a broadcast of CNN's ""The Lead"":",Jon Greenberg,"January 7, 2014",TRUE
"Under a proposed bill, a $100,000 home’s flood insurance premium would be ""maybe $200 or $300 annually.""",Gus Bilirakis,"January 2, 2014",a Bay News 9,Joshua Gillin,"January 7, 2014",FALSE
Fifty-three percent of graduates from liberal arts colleges these days can’t find jobs.,Johnny Isakson,"December 4, 2013",a speech:,Nancy Badertscher,"January 7, 2014",FALSE
"""You don’t see Norway losing population, and its taxes are astronomical.""",Jonathan Harris,"December 24, 2013",a newspaper commentary:,John Hill,"January 7, 2014",TRUE
"""In my home state, nearly one in five Floridians live in poverty.""",Marco Rubio,"January 6, 2014",a video:,Amy Sherman,"January 6, 2014",TRUE
"The No. 2 owner of Fox News is Prince Alwaleed bin Talal, who said, ""A strong American Government is not good for us.""",Facebook posts,"December 29, 2013",a Facebook post:,Katie Sanders,"January 6, 2014",FALSE
"Says David Jolly lobbied ""for government-run health care just last year.""",Kathleen Peters,"December 19, 2013",comments dur,Joshua Gillin,"January 6, 2014",FALSE
"The federal health care law tells ""the American people precisely what type of coverage they have to have.""",Mitt Romney,"January 5, 2014",comments,Steve Contorno,"January 5, 2014",half-true
"The Obama administration offered ""no magic number"" of people that needed to sign up for health care on the marketplaces.",Gene Sperling,"January 5, 2014",an,Katie Sanders,"January 5, 2014",FALSE
"""Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions.""",Neera Tanden,"December 29, 2013",a panel discussi,Steve Contorno,"January 5, 2014",TRUE
"Says New Jersey has ""the highest unemployment rate in the region"" and ""stagnant job growth.""",Marie Corfield,"December 30, 2013",a column,Caryn Shinske,"January 5, 2014",half-true
"""Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.""",For Our Daughters RI,"January 2, 2014",an,C. Eugene Emery Jr.,"January 5, 2014",pants-fire
"In altered photo, says Barack Obama wants ""more of Texans’ private data"" via health care.",David Dewhurst,"December 12, 2013",a tweet:,Sue Owen,"January 3, 2014",TRUE
"""Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals"" in 2014.",Carol Shea-Porter,"December 10, 2013",a press release:,Kaitlin Mulhere,"January 3, 2014",TRUE
"Because of the health care law, ""by 2017, we will be funneling over $100 billion annually to private insurance companies.""",Michael Moore,"January 1, 2014","a ""New York Times"" op-ed:",Jon Greenberg,"January 3, 2014",TRUE
"""More Americans believe the moon landing was fake than believe Obamacare is affordable.""",Tom Graves,"December 19, 2013",a Tweet:,Eric Stirgus,"January 3, 2014",half-true
"""Obamacare Medical Codes Confirm: Execution by Beheading To Be Implemented in America.""",Bloggers,"November 23, 2013",blog posts:,Louis Jacobson,"January 2, 2014",pants-fire
"""(The farm bill) has a provision that would in many ways reduce the deficit.""",Donna Brazile,"December 29, 2013",a discussi,Katie Sanders,"January 2, 2014",TRUE
"Republican state lawmakers ""are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.""",Thom Hartmann,"December 12, 2013","a broadcast of ""The Big Picture"":",Jon Greenberg,"December 31, 2013",TRUE
"""The commission form of government is definitely losing favor in the United States.""",Kimberly Nelson,"December 3, 2013",a meet,Eric Stirgus,"December 31, 2013",TRUE
"""(Jack Kingston) had more earmarks at one time than every member of the Georgia delegation put together.""",Paul Broun,"December 11, 2013",an,Eric Stirgus,"December 30, 2013",FALSE
"""Of all cities in the United States with more than 100,000 people, Providence is the 183rd safest.""",Brett Smiley,"December 19, 2013",a campaign speech:,John Hill,"December 30, 2013",TRUE
"""This governor has given us continual balanced budgets without raising taxes.""",David Rible,"November 30, 2013",an,Caryn Shinske,"December 29, 2013",half-true
"""61 percent of non-tea party Republicans actually agree...there is 'solid evidence the earth is warming,' ...[but] 70 percent of tea partiers, contrarily, say there is 'no solid evidence' the earth is warming.""",Sheldon Whitehouse,"December 17, 2013",a speech,C. Eugene Emery Jr.,"December 28, 2013",TRUE
"""Since 2007 David Jolly has given almost $30,000 to keep Democrats in Congress!""",Kathleen Peters,"December 13, 2013",a mail,Joshua Gillin,"December 27, 2013",TRUE
"""Kathleen Peters refuses to ‘take a stand’ to repeal Obamacare.""",David Jolly,"December 13, 2013",David Jolly,Joshua Gillin,"December 27, 2013",FALSE
"""This is the first time in Texas history -- and only the fourth time in United States history -- that two women are running for the top spots.""",Gilberto Hinojosa,"December 10, 2013",an email blast:,W. Gardner Selby,"December 26, 2013",half-true
"""A quarter of our workers make $18,000 per year.""",Teresa Ghilarducci,"December 15, 2013",an,Louis Jacobson,"December 23, 2013",half-true
"Protesters in La Crosse blocked an exit and surrounded a State Patrol car carrying the governor and were ""beating on the windows and rocking the vehicle."" When the car was ""extricated"" from the crowd, a truck blocked a second exit.",Scott Walker,"November 19, 2013",a book:,James B. Nelson,"December 23, 2013",FALSE
"""Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.""",George Will,"December 22, 2013",comments,Jon Greenberg,"December 22, 2013",FALSE
"Says President Barack Obama ""came into office very concerned about"" wiretappings but ""then he became president of the United States, he got all the briefings … (and) he decided … the balance is probably pretty appropriately struck.""",Bill  Kristol,"December 22, 2013",comments,Katie Sanders,"December 22, 2013",TRUE
"To comply with non-discrimination laws, the government is ""forcing people in business to make wedding cakes"" for anyone.",Glenn Beck,"December 19, 2013",comments,Katie Sanders,"December 22, 2013",TRUE
"""The fact that one town has three lanes dedicated to it, that kind of gets me sauced.""",Chris Christie,"December 2, 2013",resp,Caryn Shinske,"December 22, 2013",pants-fire
"""Scott Walker raises nearly 70 percent of his money from out of state""",Mary Burke,"December 13, 2013",an,Dave Umhoefer,"December 22, 2013",FALSE
"""Rhode Island’s teen binge drinking rate is double the national average.""",Physicians Committee for Responsible Medicine,"December 11, 2013",an advertisement:,John Hill,"December 22, 2013",FALSE
"Says Gov. Scott Walker dropped out or was kicked out of college short of a degree ""not long after"" he was ""kicked out of student elections at Marquette University.""",Democratic Party of Wisconsin,"November 19, 2013",a web post,Dave Umhoefer,"December 21, 2013",FALSE
"""I’m ninth generation from New Hampshire.""",Scott Brown,"October 28, 2013",speech to the Nashua Rotary Club :,Jim Haddadin,"December 20, 2013",half-true
"Federal law for Obamacare navigators ""does not bar — or even require screening for — convicted felons, including individuals convicted of identity theft or fraud.""",Pete Sessions,"December 15, 2013",an oped column:,W. Gardner Selby,"December 20, 2013",half-true
"""60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs we’ve gotten back, only 40 percent are living-wage.""",Jeff Merkley,"December 4, 2013",a talk to the Human Services Coaliti,Dana Tims,"December 20, 2013",TRUE
"Studies suggest the 2017 College Football Playoff Championship game will bring about 1,700 to 1,800 full-time jobs.",Ken Hagan,"December 16, 2013",an,Joshua Gillin,"December 20, 2013",FALSE
"Gov. Scott Walker bought ""80 new, brand-new vehicles"" for the state that ""we probably don’t need.""",Kathleen Vinehout,"December 5, 2013",a meet,Tom Kertscher,"December 20, 2013",FALSE
"The economic impact of new Atlanta Braves stadium includes 9,241 new jobs and $295 million in wages.",Revitalize Cobb,"November 22, 2013",a mailer:,Willoughby Mariano,"December 20, 2013",FALSE
"""There never really was a 'Hastert Rule.' """,Dennis Hastert,"December 18, 2013","a broadcast of MSNBC's ""The Cycle"":",Jon Greenberg,"December 19, 2013",half-true
"""We don’t show people playing these games. We don’t show them winning playing the video lottery games.""",Jack Roberts,"December 11, 2013",an,Dana Tims,"December 19, 2013",FALSE
"""Florida has experienced positive job growth for 39 consecutive months.""",Republican Party of Florida,"December 17, 2013",a Facebook post:,Amy Sherman,"December 19, 2013",FALSE
"The United States is ""behind many countries in Europe in terms of the ability of every kid in America to get ahead.""",Steven Rattner,"December 16, 2013",a segment,Katie Sanders,"December 19, 2013",TRUE
"The Murray-Ryan deal ""is the first divided-government budget agreement since 1986.""",Paul Ryan,"December 10, 2013",a press c,Steve Contorno,"December 19, 2013",FALSE
"""The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.""",Republican National Committee,"December 14, 2013",a Facebook post:,Louis Jacobson,"December 19, 2013",half-true
"""Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.""",Kathleen Sebelius,"December 15, 2013",an op,Sue Owen,"December 19, 2013",TRUE
"""Medicare costs have slowed down dramatically. In fact, the first two months of this fiscal year, Medicare costs were down even in nominal terms relative to the previous year.""",Peter Orszag,"December 15, 2013",an,Louis Jacobson,"December 18, 2013",TRUE
Says Marco Rubio endorsed Obamacare for his own family.,Charlie Crist,"December 13, 2013",an op-ed:,Julie Kliegman,"December 18, 2013",FALSE
"""Every dollar spent in the new Obamacare system ... goes to private-sector insurance companies.""",Chris Matthews,"December 16, 2013","a broadcast of ""Hardball"":",Jon Greenberg,"December 18, 2013",half-true
"Gov. Rick Scott ""backed the federal shutdown.""",Florida Democratic Party,"December 11, 2013",an,Amy Sherman,"December 18, 2013",FALSE
Greg Abbott defended more than $5 billion in public school funding cuts in fighting hundreds of school districts in court.,Wendy Davis,"December 3, 2013",a post,W. Gardner Selby,"December 18, 2013",half-true
Goodwill Industries International pays workers with disabilities wages as low as pennies per  hour.,National Federation of the Blind,"October 31, 2013",a news release:,Janel Davis,"December 18, 2013",half-true
"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",Bloggers,"December 9, 2013",various Internet post,Louis Jacobson,"December 17, 2013",FALSE
"""About 40 percent of workers don’t ... have a single paid sick day.""",Vicki Shabo,"December 12, 2013",an,Katie Sanders,"December 17, 2013",TRUE
"Florida’s proposed medical marijuana amendment ""would make Florida one of the most lenient medical-marijuana states, allowing use for limitless ‘other conditions’ specified by any physician.""",Pam Bondi,"October 24, 2013",an,Joshua Gillin,"December 17, 2013",TRUE
"""Whether the Amendment passes or not, the medical use of marijuana is a federal criminal offense.""",Pam Bondi,"October 24, 2013",an,Joshua Gillin,"December 17, 2013",TRUE
"""Of the four statewide races this century within a 300-vote margin, three have been overturned in a recount.""",Mark Obenshain,"November 27, 2013",a statement.:,Nancy Madsen,"December 17, 2013",TRUE
"Says ""Harry Reid has a better voting attendance record than these three Congressmen!""",Eugene Yu,"December 9, 2013",a website:,Eric Stirgus,"December 17, 2013",TRUE
"""By the word religion in the First Amendment, the founders meant Christianity.""",Bryan Fischer,"December 10, 2013","a broadcast of ""Focal Po",Jon Greenberg,"December 16, 2013",pants-fire
"The Employment Non-Discrimination Act ""discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.""",Traditional Values Coalition,"December 6, 2013",a fundrais,Julie Kliegman,"December 16, 2013",FALSE
"Iran President Hassan ""Rouhani has more Cabinet members with Ph.D.s from American universities"" than members of Barack Obama’s Cabinet.",Bob Schieffer,"December 9, 2013",comments at a forum at the Center for Strategic and Internati,Katie Sanders,"December 16, 2013",TRUE
"School children can earn higher grades by studying Islam under a new ""nationwide Muslim outreach program"" announced by President Barack Obama.",Bloggers,"December 7, 2013",viral posts,Louis Jacobson,"December 16, 2013",pants-fire
"Says he would have ""almost twice the actual experience practicing law"" Greg Abbott did on becoming attorney general of Texas.",Sam Houston,"December 13, 2013",a campaign web page:,Sue Owen,"December 16, 2013",half-true
The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools.,Revitalize Cobb,"November 22, 2013",a flier:,Willoughby Mariano,"December 16, 2013",half-true
"A gun ""background check is futile. Something like 42 (people during the) last year … were prosecuted for trying to buy a gun with a criminal record out of 11 million.""",Larry Pratt,"December 15, 2013",,Steve Contorno,"December 15, 2013",half-true
"""Every major city which has a center of poverty is run by Democrats. Every major city.""",Newt Gingrich,"December 15, 2013",comments,Julie Kliegman,"December 15, 2013",FALSE
"Under President Obama’s health-care reforms, the premium for ""an average plan for a family didn't go down by $2,500 per year, it's gone up about $2,500 per year.""",Ron Johnson,"December 5, 2013",an,Tom Kertscher,"December 15, 2013",half-true
"""The vast, overwhelming majority of [crimes that occur with a firearm] are committed by people who don’t legally possess that firearm in the first place.""",Michael Chippendale,"December 3, 2013",a radio,C. Eugene Emery Jr.,"December 15, 2013",TRUE
"""Oregon leads the nation in number of jobs per capita in manufacturing.""",ECONorthwest,"December 9, 2013",a paper for the Oreg,Dana Tims,"December 13, 2013",FALSE
"Says Rep. Steve Stockman ""basically wants gun-filled zones in schools.""",Howard Fineman,"December 10, 2013",comments,Jon Greenberg,"December 13, 2013",TRUE
"""In every poll,"" John Cornyn ""always loses to any conservative the voters have heard about.""",Steve Stockman,"December 11, 2013",Stockman's campaign website:,W. Gardner Selby,"December 13, 2013",FALSE
"""Obamacare could force thousands of volunteer fire stations to cut service or close entirely!""",Generation Opportunity,"December 10, 2013",a Facebook post:,Steve Contorno,"December 13, 2013",half-true
"The town of Cumberland has ""its highest bond rating in history.""",Daniel McKee,"November 13, 2013",a campaign speech:,John Hill,"December 13, 2013",TRUE
"""The 'Denver Post' has actually hired an editor to promote pot.""",Bill O'Reilly,"December 9, 2013","a broadcast of the ""O'Reilly Factor"":",Jon Greenberg,"December 12, 2013",FALSE
"Gov. Charlie Crist ""sought for and got approved the automatic restoration of felon rights for nonviolent offenders for the first time in Florida history.""",Dan Gelber,"November 26, 2013",Charlie Crist's campaign website:,Amy Sherman,"December 12, 2013",FALSE
"""John Cornyn has voted to increase the debt, raise taxes, bail out Wall Street banks and fund Obamacare.""",Senate Conservatives Fund,"December 9, 2013",as quoted by Politico:,W. Gardner Selby,"December 12, 2013",half-true
"""60 percent of people on food assistance are working.""",Barbara Lee,"December 4, 2013","an episode of CNN's ""Crossfire"":",Julie Kliegman,"December 11, 2013",TRUE
"Says Nelson Mandela ""was a communist.""",Bill O'Reilly,"December 5, 2013",an exchange,Louis Jacobson,"December 11, 2013",TRUE
"""The middle class can be defined to include those with income between roughly $20,000 and $60,000.""",Oregon Business Association,"December 9, 2013",the OBA's 2014 Work Plan:,Dana Tims,"December 11, 2013",half-true
"""Obamacare is going to increase the divorce rate.""",Rush Limbaugh,"December 6, 2013",a segment,Katie Sanders,"December 11, 2013",FALSE
"""We are experiencing the worst economic recovery America has ever had.""",Scott Walker,"November 19, 2013",a new book:,James B. Nelson,"December 11, 2013",FALSE
"""Defensive medicine costs Georgia up to $14 billion a year.""",Doctors for a Healthy Georgia,"December 2, 2013",its website:,Eric Stirgus,"December 11, 2013",half-true
"""The CBO just said if we cut this (unemployment benefits) extension, we will kill jobs, because those people who are looking for work won't have any money to spend.""",David Madland,"December 6, 2013","a broadcast of CNN's ""Crossfire"":",Jon Greenberg,"December 10, 2013",half-true
"""(U.S. Rep. Jack Kingston) voted to fund (Obamacare).""",Paul Broun,"December 5, 2013",a video:,Eric Stirgus,"December 10, 2013",FALSE
"""The most popular name is no longer John or Steven. It's Jose, Camilo and Maria.""",Jorge Ramos,"December 5, 2013","a broadcast of the ""Daily Show"":",Jon Greenberg,"December 9, 2013",FALSE
"""FACT: Repealing Obamacare would be easier than repealing Prohibition.""",Heritage Foundation,"December 5, 2013",a tweet:,Lilly Maier,"December 9, 2013",half-true
"Even after collective bargaining reforms, most Wisconsin public employees ""are still paying about 12 to 13 percent"" of their health insurance premiums, while most state residents who work in the private sector ""pay 20 to 25 percent.""",Scott Walker,"November 27, 2013",an,Tom Kertscher,"December 9, 2013",TRUE
"""One-third of all bank tellers (are) on public assistance.""",James Carville,"December 8, 2013",comments,Jon Greenberg,"December 8, 2013",TRUE
"""About 2 percent of Americans get paid the minimum wage.""",Rob Portman,"December 8, 2013",an,Louis Jacobson,"December 8, 2013",TRUE
"""I have cut taxes 63 times, including a 2006 property tax reduction that ranks as the largest in state history.""",David Dewhurst,"October 1, 2013",a blog post,W. Gardner Selby,"December 8, 2013",FALSE
"""We pay among the highest tolls in the nation for the privilege of crossing that bridge.""",Loretta  Weinberg,"November 14, 2013",an,Caryn Shinske,"December 8, 2013",TRUE
"""The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined.""",One Wisconsin Now,"November 27, 2013",an email:,Tom Kertscher,"December 8, 2013",TRUE
